r_alfa_a r_moment_A r_power_A r_alfa_K r_moment_K r_power_K r_alfa_H r_moment_H r_power_H
-25.1191324908075 -2.4161017145991 3.49495774518067 24.37738883427 -4.16974791931432 -10.355191350396 -5.5068677950687 -23.3072106682628 16.0243434153315
-7.48269668604344 10.0770292743677 -15.3307342175174 17.629389248469 -4.01279624935258 -10.6728475619417 -4.13500770228503 36.0870745230427 -26.3030519039058
12.7891124162375 11.311088228768 -15.7615876190483 10.7579181212654 -10.5790677797473 -29.2752692911808 -3.31750761444205 45.4256258656434 -34.6167092261758
30.3041036475823 14.3065405356058 -15.6001719446449 3.51305944213953 -2.52478426777975 -7.07548853031656 -3.2092175180537 74.4260085308288 -59.1050142264722
41.3876482566248 17.1916847169789 -11.6309637222787 -4.33411192958424 20.0179635446248 55.2310025139784 -3.89885339428964 121.065002119076 -100.863266988425
45.4341916237018 14.2930662516009 -3.17597618889117 -12.6143444543411 26.1970771130259 68.9750321399354 -5.2872082236316 133.696119314241 -118.455461703943
43.7633714244587 11.1191440342941 2.39539425881912 -20.8223879319175 28.8169351373341 69.8725570929475 -7.09735557899549 144.337029875384 -138.127476416049
38.3546661944107 10.2305781850146 6.12787486551311 -28.3321811383039 40.1529457284616 85.9828295531434 -9.02241545986671 160.875479305459 -168.469275880596
30.940729405678 7.3612285099225 6.68681992817237 -34.6672253118663 47.885021114461 85.9397550564551 -10.8293874710852 175.157600215361 -202.394050186082
22.7005493151377 4.43204666366374 5.03209784800712 -39.5276479308548 51.6393657005123 72.2658904196281 -12.2637829854211 182.132548319161 -232.789921016878
14.3397390336947 0.156707895605372 0.200395953102356 -42.8609991963585 51.0541318738294 49.564583180844 -13.2920337404274 182.858089729083 -258.022819617268
6.39953316840953 -2.31342837735509 -3.10642976760617 -44.65551158856 52.3683657877966 27.4551115244329 -13.8327587211562 180.143434882198 -279.111099053997
-0.639359839709197 -4.82221688882474 -6.44435427042506 -44.9279490990306 51.3207963855478 3.84852206894175 -13.8605071544529 170.639639719667 -288.037603902007
-6.41723388310733 -7.60409604240899 -9.67405241870617 -43.7473179725328 48.1255271715708 -17.4447170447196 -13.4321910866436 156.700303026126 -285.556459894477
-10.6694270139484 -9.34899085235958 -10.8964517054764 -41.166721726309 44.7647247065708 -34.6546507310115 -12.5585741203116 140.893374731261 -274.445542281556
-13.3234367497153 -11.0398794187133 -11.3963276691522 -37.3203103933817 40.3082681069611 -46.2478517336786 -11.2622386220368 123.059295313022 -253.565854307767
-14.5258432626921 -12.8032099762911 -11.3568172518643 -32.4943154944407 35.6315610368055 -52.4602451346049 -9.696835555002 105.860291630688 -228.392101451783
-14.5137950471856 -14.067904646442 -10.4368511251707 -27.0430964565932 31.3981644527763 -54.7184633825257 -7.96582635490317 89.9870504736745 -201.314017418372
-13.6435518544135 -15.3363940762249 -9.28550307333356 -21.3418653671138 27.4084070275668 -53.6148663449442 -6.20668437527341 75.8284589081399 -174.345638053193
-12.2474710958506 -17.6044734560435 -8.50262125189275 -15.7268655140164 23.2940940899979 -49.2300973115828 -4.5450848365816 63.6990939105854 -149.352844691675
-10.6084331467141 -19.6157973859936 -7.39312317834536 -10.4351989955292 19.8095757195076 -43.9330311524512 -3.0512088746268 53.5693668249116 -127.236571835524
-8.91697206617206 -21.735045972817 -6.25375233757636 -5.63617528724416 15.6307057037214 -35.5462434528619 -1.78165185876766 43.0324282425046 -102.976196436393
-7.23696963821407 -24.1088140398084 -5.19200115982609 -1.34685042941727 11.8407530042838 -27.0868787802211 -0.71669251063442 34.0983679251364 -81.8414544936903
-5.61786635852671 -26.9832938930296 -4.29515504343948 2.38539309145636 7.34470076170014 -16.6265202385728 0.173137303536564 24.681135037481 -59.195879826682
-4.03532926108813 -28.9088328558677 -3.43509248463896 5.60797385427882 4.38041594866575 -9.67048652201675 0.898293760770308 17.7333244790279 -42.3727719109478
-2.51919281257951 -31.2086939821242 -2.92216634072516 8.33911391138145 2.02977016190897 -4.3117856350098 1.5320125302817 12.3032465307882 -29.2094217052375
-1.11174218574109 -33.7987640363115 -2.78892747589541 10.6090738099465 -0.885106076644917 1.78630524592885 2.06811369029296 5.74984420684732 -13.5319245963044
0.121672874204004 -36.7517283300268 -3.07731017120366 12.4272580772519 -3.82648715089109 7.2470204638048 2.52765045588443 -1.02855612792764 2.39464884181019
1.12488883581674 -39.9826385015909 -3.79760224919466 13.8066899290353 -6.57347988108599 11.5419961769328 2.90205357495541 -7.77636771256759 17.8789962881494
1.84566984832948 -42.6316755501298 -4.83605116470705 14.7273470282715 -8.08625639160334 13.0073026174544 3.19782054737932 -13.4366162373306 30.4630490299544
2.33481326739809 -45.3955856084071 -6.20948569462531 15.2895846439209 -10.4073406594206 15.1496880193833 3.42404340823936 -20.8465458624964 46.5488000210231
