trunkAngleL pelvisAngleL leftHipAngleL leftThighAngleL leftShankAngleL leftKneeAngleL leftFootAngleL leftAnkleAngleL
-0.332823661089534 8.41129656275811 -7.66191756827659 16.0732141310347 47.334781183768 31.2615670527333 -66.7780827036338 -14.4433015198658
-0.442160284333601 7.84007220696799 -6.62000586067428 14.4600780676423 48.9843907811256 34.5243127134833 -65.0455635633339 -11.0611727822083
-0.47780366105077 7.26033573268542 -5.50948315173557 12.769818884421 50.24846389892 37.4786450144991 -62.9293416617312 -7.68087776281119
-0.431543637870186 6.72304996900667 -4.24907380128179 10.9721237702885 51.1169338357212 40.1448100654328 -60.55413676049 -4.43720292476875
-0.298768430988269 6.27460179192522 -2.76057704360619 9.03517883553141 51.5983932703499 42.5632144348185 -58.0028614729761 -1.40446820262616
-0.0809412627139455 5.95040898189758 -0.986331333328278 6.93674031522586 51.7068321336464 44.7700918184206 -55.3148201362788 1.3920119973676
0.212890795056021 5.77052471411536 1.09886044749348 4.67166426662188 51.4510731705751 46.7794089039532 -52.4997024536098 3.95137071696533
0.565934016918986 5.73694352893683 3.48060944577908 2.25633408315775 50.8279570051838 48.5716229220261 -49.5583653149346 6.26959169024926
0.954477229241354 5.83410278346168 6.10486899535511 -0.270766211893429 49.8204155161858 50.0911817280792 -46.4916414250108 8.32877409117501
1.35022693715342 6.03223928376102 8.88356480312824 -2.85132551936722 48.4004238907667 51.2517494101339 -43.3018322658807 10.098591624886
1.72304828198941 6.29288817008549 11.7050996486935 -5.41221147860802 46.5360130244866 51.9482245030946 -39.9916646240525 11.5443484004342
2.04433184405033 6.57642070923109 14.4490380853086 -7.87261737607747 44.1997414300146 52.0723588060921 -36.5642629311899 12.6354784988248
2.29004902889936 6.84930178556862 17.0014740025923 -10.1521722170237 41.3764847400017 51.5286569570254 -33.0254983343546 13.3509864056471
2.4430785346291 7.08913813843265 19.2681751470906 -12.179037008658 38.0696502256084 50.2486872342664 -29.3892719881766 13.6803782374319
2.49455526956582 7.28677196131793 21.1835982470327 -13.8968262857147 34.305759761154 48.2025860468687 -25.6842928393234 13.6214669218306
2.44487265732317 7.44490368812831 22.7141850973219 -15.2692814091936 30.1375936992228 45.4068751084164 -21.9598671830993 13.1777265161235
2.30258354961678 7.5742889543064 23.8569778942571 -16.2826889399507 25.644897466968 41.9275864069187 -18.288739928018 12.3561575389499
2.0830675357725 7.68982286977441 24.6362117482617 -16.9463888784873 20.9316399952293 37.8780288737166 -14.7642590174809 11.1673809777484
1.80579852641053 7.80735193604977 25.0980711801955 -17.2907192441458 16.1199040241971 33.4106232683429 -11.4898163104357 9.63008771376138
1.49138171525524 7.94075931730938 25.3032093259813 -17.3624500086719 11.3418880731838 28.7043380818558 -8.56172289701829 7.78016517616553
1.15936746965826 8.09919614481894 25.3174638059485 -17.2182676611296 6.73180495932926 23.9500726204588 -6.05129493152779 5.68051002780147
0.82694827115878 8.28500921250338 25.2029862492799 -16.9179770367766 2.41823248576634 19.3362095225429 -3.99343670036146 3.42479578540487
0.508622112844627 8.49202358643871 25.0106522031449 -16.5186286167062 -1.48257891417309 15.0360497025331 -2.38666574584643 1.13075533998048
0.216200247917263 8.70584557112626 24.7764859187936 -16.0706403476673 -4.87190950651348 11.1987308411539 -1.20491644053689 -1.07682594705036
-0.041074694560514 8.90473312912536 24.5193765290631 -15.6146433999378 -7.6724201251328 7.94222327480497 -0.416290968275604 -3.08871109340841
-0.256386975663468 9.06224539934523 24.2412548119453 -15.1790094126001 -9.83085367524134 5.34815573735874 -0.00029635060126954 -4.83115002584261
-0.425454359554997 9.15012460507059 23.9283284657099 -14.7782038606393 -11.3195182172478 3.45868564339145 0.0449674699703416 -6.27455074727748
-0.546515469002944 9.14208400423803 23.5550066949901 -14.4129226907521 -12.1365594808383 2.27636320991384 -0.290965108079684 -7.42752458891794
-0.620123801874321 9.01744270320292 23.0889693067641 -14.0715266035612 -12.3049521288765 1.76657447468462 -1.01227044204679 -8.31722257092333
-0.648527534933077 8.76432050455641 22.4971211867497 -13.7328006821933 -11.8697428539814 1.86305782821189 -2.09080992547722 -8.96055277945866
-0.635021488122441 8.3818876980062 21.7518719711446 -13.3699842731384 -10.8929444425221 2.47703983061622 -3.44346538457051 -9.33640982709265
-0.582722828873704 7.88167571063233 20.8379319083703 -12.956256197738 -9.44610747707978 3.5101487206582 -4.92603204998769 -9.37213952706747
-0.493768616487039 7.28776014711647 19.7588856215075 -12.471125474391 -7.60184205071958 4.86928342367146 -6.3526529364089 -8.95449498712848
-0.368827512672431 6.63523802335802 18.5407463073955 -11.9055082840375 -5.42722858669255 6.47827969734495 -7.53843559884107 -7.96566418553362
-0.207151569169179 5.96772535724003 17.2311752076331 -11.2634498503931 -2.98195802177578 8.28149182861734 -8.34930618757909 -6.33126420935486
-0.00716893989408569 5.33262732518062 15.891111965583 -10.5584846404024 -0.32220904943589 10.2362755909665 -8.73699655202438 -4.05920560146027
0.232467231226442 4.77530129396155 14.5807550004919 -9.80545370653035 2.49213618700738 12.2975898935377 -8.74385944377677 -1.2517232567694
0.51127462016849 4.3325109593163 13.3434441554649 -9.01093319614857 5.39213637200796 14.4030695681565 -8.47848625566708 1.91365011634088
0.8259623584339 4.02679343850383 12.1923909473236 -8.16559750881972 8.30044218648954 16.4660396953093 -8.08083720225076 5.21960498423879
1.16946811027575 3.8632390146364 11.1041496347291 -7.24091062009266 11.1375101076983 18.378420727791 -7.69164076194249 8.44586934575581
