trunkAngleR pelvisAngleR rightHipAngleR rightThighAngleR rightShankAngleR rightKneeAngleR rightFootAngleR rightAnkleAngleR
-0.332823661089534 8.41129656275811 23.6735466606548 -15.2622500978967 -13.3692587708772 1.89299132701947 -4.13812064850871 -12.5073794193859
-0.442160284333601 7.84007220696799 22.5115693677334 -14.6714971607654 -11.1435602195942 3.52793694117123 -5.47173028929997 -11.6152905088942
-0.47780366105077 7.26033573268542 21.401182764289 -14.1408470316036 -8.49827760534529 5.64256942625831 -6.3827953896495 -9.88107299499479
-0.431543637870186 6.72304996900667 20.3975922498301 -13.6745422808234 -5.52514690583222 8.14939537499118 -6.82653517680204 -7.35168208263427
-0.298768430988269 6.27460179192522 19.5393236795286 -13.2647218876034 -2.32789517089994 10.9368267167034 -6.86711574297168 -4.19501091387162
-0.0809412627139455 5.95040898189758 18.8373677951124 -12.8869588132148 0.981779791668009 13.8687386048828 -6.6423781110282 -0.660598319360195
0.212890795056021 5.77052471411536 18.2689152271597 -12.4983905130443 4.29163004321268 16.790020556257 -6.31384377727891 2.97778626593377
0.565934016918986 5.73694352893683 17.7757952680049 -12.038851739068 7.49811437572519 19.5369661147932 -6.02123109440029 6.4768832813249
0.954477229241354 5.83410278346168 17.2695007574842 -11.4353979740225 10.5130443209302 21.9484422949527 -5.85770657355118 9.65533774737904
1.35022693715342 6.03223928376102 16.642983703516 -10.6107444197549 13.2681992493968 23.8789436691517 -5.87125743019185 12.3969418192049
1.72304828198941 6.29288817008549 15.7885803458116 -9.49569217572614 15.7197978379017 25.2154900136278 -6.08488958998242 14.6349082479193
2.04433184405033 6.57642070923109 14.6190329392993 -8.0426122300682 17.8504767431565 25.8930889732247 -6.52168154327203 16.3287951998845
2.29004902889936 6.84930178556862 13.0855430840495 -6.23624129848092 19.6673785431061 25.903619841587 -7.22201935768562 17.4453591854205
2.4430785346291 7.08913813843265 11.1867983016378 -4.0976601632052 21.1968808073539 25.2945409705591 -8.24839909402997 17.948481713324
2.49455526956582 7.28677196131793 8.96835407804014 -1.68158211672221 22.4774603129153 24.1590424296375 -9.68092750768156 17.7965328052337
2.44487265732317 7.44490368812831 6.51344939207994 0.931454296048366 23.5530423782755 22.6215880822272 -11.606999356566 16.9460430217096
2.30258354961678 7.5742889543064 3.92961747691085 3.64467147739554 24.4682464913356 20.82357501394 -14.1079095215379 15.3603369697977
2.0830675357725 7.68982286977441 1.33632133520266 6.35350153457175 25.2663120013024 18.9128104667307 -17.2447005183977 13.0216114829048
1.80579852641053 7.80735193604977 -1.14416467556813 8.9515166116179 25.9898248464746 17.0383082348567 -21.0448199430167 9.94500490345793
1.49138171525524 7.94075931730938 -3.39375900670096 11.3345183240103 26.6830663940254 15.3485480700151 -25.4911796471128 6.1918867469126
1.15936746965826 8.09919614481894 -5.30586161793253 13.4050577627515 27.3949251578507 13.9898673950993 -30.5139858884387 1.88093926941202
0.82694827115878 8.28500921250338 -6.79359676271501 15.0786059752184 28.1810320263057 13.1024260510873 -35.984524483457 -2.8034924571513
0.508622112844627 8.49202358643871 -7.79900648605942 16.2910300724981 29.1032558683683 12.8122257958701 -41.7117468230716 -7.60849095470333
0.216200247917263 8.70584557112626 -8.29893795438926 17.0047835255155 30.2253374209386 13.2205538954231 -47.4464749102033 -12.2211374892647
-0.041074694560514 8.90473312912536 -8.30771302500949 17.2124461541349 31.6034059871385 14.3909598330037 -52.900938484644 -16.2975324975055
-0.256386975663468 9.06224539934523 -7.87459751508027 16.9368429144255 33.2724143102213 16.3355713957958 -57.790981372593 -19.5185670623717
-0.425454359554997 9.15012460507059 -7.07758945104084 16.2277140561114 35.2318876572553 19.0041736011439 -61.8849713491885 -21.6530836919331
-0.546515469002944 9.14208400423803 -6.01304310165045 15.1551271058885 37.4360370805414 22.2809099746529 -65.0399037013757 -22.6038666208344
-0.620123801874321 9.01744270320292 -4.78307408531349 13.8005167885164 39.792327762801 25.9918109742846 -67.2127393755542 -22.4204116127532
-0.648527534933077 8.76432050455641 -3.48207847895712 12.2463989835135 42.171017698262 29.9246187147485 -68.4443503912657 -21.2733326930037
-0.635021488122441 8.3818876980062 -2.18424309528565 10.5661307932919 44.4248721846376 33.8587413913457 -68.8250312949369 -19.4001591102994
-0.582722828873704 7.88167571063233 -0.934520206670734 8.81619591730306 46.4131241187687 37.5969282014657 -68.4579670508851 -17.0448429321163
-0.493768616487039 7.28776014711647 0.255515319575082 7.03224482754138 48.020851084058 40.9886062565166 -67.4368312836672 -14.4159801996093
-0.368827512672431 6.63523802335802 1.40560529801853 5.22963272533948 49.167996767311 43.9383640419715 -65.8406017694484 -11.6726050021374
-0.207151569169179 5.96772535724003 2.56034383296876 3.40738152427126 49.8095628759593 46.402181351688 -63.7351016168078 -8.92553874084857
-0.00716893989408569 5.33262732518062 3.77847643653751 1.55415088864311 49.9309810046677 48.3768301160245 -61.1717523832477 -6.24077137858004
0.232467231226442 4.77530129396155 5.12026297273948 -0.344961678777936 49.5409342937344 49.8858959725124 -58.1857150264733 -3.64478073273888
0.51127462016849 4.3325109593163 6.6339388040039 -2.3014278446876 48.6636229062844 50.965050750972 -54.8005792240531 -1.13695631776873
0.8259623584339 4.02679343850383 8.3439607139747 -4.31716727547087 47.3312235049603 51.6483907804311 -51.0423512655958 1.28887223936449
1.16946811027575 3.8632390146364 10.2434521424133 -6.38021312777691 45.5769788998391 51.957192027616 -46.9558315028756 3.62114739696344
1.5305276652638 3.82921764573593 12.2922704118132 -8.46305276607728 43.4300020145463 51.8930547806236 -42.6132642793899 5.81673773515647
