Field	Time	PELO:X	PELO:Y	PELO:Z	PELP:X	PELP:Y	PELP:Z	LKJC:X	LKJC:Y	LKJC:Z	LHJC:X	LHJC:Y	LHJC:Z	LAJC:X	LAJC:Y	LAJC:Z	RKJC:X	RKJC:Y	RKJC:Z	RHJC:X	RHJC:Y	RHJC:Z	RAJC:X	RAJC:Y	RAJC:Z	LTOO:X	LTOO:Y	LTOO:Z	RTOO:X	RTOO:Y	RTOO:Z	TRXO:X	TRXO:Y	TRXO:Z	TRXP:X	TRXP:Y	TRXP:Z
26	0.2500	162.232117	-3954.077393	821.875732	157.882950	-3937.306641	945.857178	0	0	0	0	0	0	0	0	0	236.504547	-3813.742676	465.038879	224.765640	-3952.150391	823.808716	230.463867	-3689.051270	83.645485	0	0	0	270.524994	-3544.199707	112.902763	158.881287	-3875.156982	1335.534546	165.548889	-3893.605225	1141.812500
27	0.2600	161.643570	-3939.854980	818.917664	157.510437	-3923.701416	942.988220	0	0	0	0	0	0	0	0	0	233.325195	-3795.864502	463.779663	224.179855	-3937.920898	820.749268	227.738419	-3658.159912	85.392227	0	0	0	266.621521	-3514.038330	119.449600	159.449585	-3862.628174	1332.650635	165.894241	-3881.043213	1138.790405
28	0.2700	161.089874	-3925.508057	816.145020	157.141571	-3909.825439	940.281982	0	0	0	0	0	0	0	0	0	230.319458	-3778.219238	462.541473	223.628159	-3923.557129	817.887817	224.629974	-3630.200195	86.961868	0	0	0	262.427246	-3486.794922	125.029984	160.097092	-3849.946045	1329.889404	166.303131	-3868.267334	1135.884277
29	0.2800	160.582047	-3910.998291	813.586548	156.773087	-3895.675781	937.772827	0	0	0	0	0	0	0	0	0	227.491150	-3760.813721	461.344269	223.121414	-3909.020020	815.260437	221.141418	-3605.261963	88.121361	0	0	0	257.957672	-3462.457764	129.284180	160.817322	-3837.103027	1327.296143	166.768982	-3855.257568	1133.141235
30	0.2900	160.130569	-3896.293213	811.269287	156.404388	-3881.252197	935.492554	118.649963	-4046.381592	458.900330	97.591347	-3898.311279	809.637817	151.477448	-4171.371582	76.019531	224.843948	-3743.637695	460.212646	222.669769	-3894.274902	812.901001	217.313660	-3583.365234	88.700027	113.802597	-4030.083740	51.587498	253.241547	-3440.944580	131.927170	161.602814	-3824.095947	1324.912109	167.284943	-3841.999756	1130.604736
31	0.3000	159.745743	-3881.366943	809.217346	156.038177	-3866.558105	933.468994	0	0	0	0	0	0	0	0	0	222.384506	-3726.677002	459.172272	222.283585	-3879.298096	810.836670	213.224075	-3564.458496	88.599533	0	0	0	248.327606	-3422.120850	132.764893	162.444885	-3810.921631	1322.773926	167.843262	-3828.483887	1128.314575
32	0.3100	159.436829	-3866.203125	807.450867	155.678970	-3851.600586	931.725403	0	0	0	0	0	0	0	0	0	220.123459	-3709.916504	458.248016	221.972000	-3864.072021	809.091614	208.982315	-3548.425781	87.798088	0	0	0	243.292480	-3405.814697	131.704849	163.333908	-3797.581299	1320.912231	168.435730	-3814.706787	1126.305786
33	0.3200	159.212524	-3850.794434	805.985596	155.334641	-3836.393555	930.279968	0	0	0	0	0	0	0	0	0	218.074203	-3693.354248	457.459656	221.743896	-3848.592773	807.681458	204.721069	-3535.092529	86.346779	0	0	0	238.242615	-3391.843750	128.761719	164.259003	-3784.078369	1319.352295	169.053711	-3800.672607	1124.608521
34	0.3300	159.080170	-3835.143799	804.832092	155.014343	-3820.955078	929.145081	0	0	0	0	0	0	0	0	0	216.251007	-3676.999512	456.822113	221.606277	-3832.864746	806.616943	200.584381	-3524.235352	84.358887	0	0	0	233.311325	-3380.029785	124.064758	165.208282	-3770.419434	1318.111938	169.688217	-3786.392578	1123.245239
35	0.3400	159.045853	-3819.263672	803.996216	154.729431	-3805.310059	928.327148	0	0	0	0	0	0	0	0	0	214.666550	-3660.873535	456.346344	221.565414	-3816.905273	805.902283	196.713181	-3515.593994	81.991936	0	0	0	228.646057	-3370.210449	117.864845	166.168930	-3756.614014	1317.203247	170.328796	-3771.885498	1122.233643
36	0.3500	159.113846	-3803.177246	803.478333	154.490723	-3789.487793	927.827698	0	0	0	0	0	0	0	0	0	213.329559	-3645.007568	456.038635	221.625519	-3800.741211	805.534302	193.231216	-3508.886963	79.426521	0	0	0	224.389008	-3362.243652	110.535858	167.127289	-3742.674316	1316.632446	170.965805	-3757.176758	1121.584473
37	0.3600	159.286942	-3786.917480	803.274109	154.310059	-3773.525146	927.642334	109.834267	-3956.752686	455.225555	96.783951	-3789.425049	801.043030	141.120758	-4155.184570	103.415802	212.242447	-3629.442383	455.901184	221.789810	-3784.409180	805.505188	190.233597	-3503.825928	76.845146	112.515419	-4023.792725	40.993160	220.653183	-3355.986572	102.557030	168.069290	-3728.614746	1316.398804	171.588882	-3742.297607	1121.301514
38	0.3700	159.565430	-3770.524414	803.374207	154.197632	-3757.460693	927.761047	107.638741	-3940.566895	454.579193	97.072334	-3773.094238	800.947388	138.607880	-4149.885254	109.421921	211.399521	-3614.227783	455.931396	222.058670	-3767.955078	805.801147	187.778107	-3500.127686	74.412872	112.529610	-4022.616455	38.000397	217.499542	-3351.273926	94.464745	168.980713	-3714.452148	1316.497070	172.187790	-3727.283203	1121.381714
