r_alfa_f r_moment_A r_power_A r_alfa_S r_moment_K r_power_K r_alfa_T r_moment_H r_power_H
73.7479346703453 2.7734423326932 204.535643963428 73.2312338765026 5.64779822753708 413.595232888065 -10.4899188876167 -8.28773212213827 86.9376377235262
81.5636539320119 -5.29370880667131 -431.774233124182 57.2202853421873 -0.972961694867065 -55.6731458073116 -11.2303871120051 -0.635310007534193 7.13477732073985
70.3645581592704 -4.94454419764022 -347.920667765939 39.1164999104405 7.12993649523906 278.898160277465 -9.85838015299223 12.9530133592701 -127.695729822471
46.3067612253255 -17.0396944115403 -789.053060467711 19.6215547796149 4.19824024630207 82.3760009708002 -5.59505762969537 26.9201349855037 -150.619706643071
18.1159419922211 -40.0240585632594 -725.073523225268 0.0305936978625687 -13.815408446669 -0.42266443186537 1.88586766315585 21.5842317282968 40.7050046504575
-6.26951080445068 -63.5121033206339 398.189817982102 -18.0407562146109 -0.0309378378205842 0.55814198992833 12.3866843961151 72.3620308691916 896.325638638616
-22.5301345276289 -82.930395633796 1868.43297005892 -33.4325475515626 24.7053136816623 -825.961574438444 25.1179043713587 127.895807798346 3212.47466977652
-30.905483614085 -99.0297571024941 3060.56253543795 -45.3392935650865 43.0684901462555 -1952.69491814611 38.6066462664306 157.475221735981 6079.59018128875
-34.9207751164664 -118.175557841357 4126.78207964098 -52.9805759763491 59.688192002037 -3162.31479125483 50.6841327980981 181.363365926644 9192.2449233361
-38.9487315462891 -137.15984160039 5342.20184942513 -56.0110510717154 62.34638687304 -3492.08665928277 58.9969635637819 171.935741099912 10143.6866529833
-45.9974300661717 -153.174451544589 7045.63112284643 -54.7644360495264 67.3586290280611 -3688.85733179103 61.6609092208392 162.967602351177 10048.7305345138
-56.9050503722207 -165.322269355477 9407.67206532324 -50.1606816669942 65.9588386220439 -3308.54030724498 57.9816186308432 138.16975441611 8011.30600687217
-70.8863167163129 -173.9093886708 12327.7960052587 -43.4452172222499 56.6119456886233 -2459.51827781645 48.4323476468119 96.6032217192083 4678.72081810675
-86.1395794641667 -177.647621610556 15302.4914183427 -35.7788028967126 47.2615144352527 -1690.96040957905 34.3757198106738 55.2412926219928 1898.95919715307
-100.32821282346 -175.888820082688 17646.6109745233 -27.9912331524301 32.2392434839979 -902.416181018549 17.4848425884012 4.62076477656569 80.7933447562802
-110.982141667644 -169.317327406791 18791.1996170474 -20.4445430516492 16.0881454005508 -328.914781262754 -0.765697614771715 -45.8299365374192 35.0918730918409
-115.772650864754 -156.453543092137 18113.0414209597 -13.0118946680141 3.58500449816526 -46.6477009144831 -19.3408626380165 -83.8940351260933 1622.5830095227
-112.790206358837 -138.718088638974 15646.0418432934 -5.28333812344628 -6.27498963220734 33.1528919480712 -37.5269114899912 -108.173207613554 4059.40638770228
-100.608900363801 -115.695519837269 11639.9990278459 3.24931721545962 -10.6203443417954 -34.5088677039052 -54.5349546348098 -113.559549787304 6192.96489600006
-78.1440373963627 -90.2327800730562 7051.15374040667 12.9587388915348 -7.90881149332445 -102.488223084361 -69.2880400001633 -99.6341279774057 6903.45344467988
-44.7997647955356 -66.3290323449031 2971.52504816713 23.7568935730281 -4.32062349120249 -102.644592449623 -80.4813407036226 -78.9799167055522 6356.40958512328
-1.3100000699684 -42.6742317474977 55.9032465750696 34.8817508385701 3.77379745317253 131.636662476795 -87.034446254185 -46.8934804202647 4081.3481013092
48.9153852295554 -22.0219192199694 -1077.21066213895 44.6781623018411 12.8269248770134 573.083431488725 -88.3295119987759 -10.1005714111508 892.178543655735
98.5099934564659 -6.33056572464688 -623.623988110691 50.7785668255845 23.5136441084238 1193.98914867261 -84.3458056484692 22.5732208232098 -1903.95649641443
138.937443232052 3.5719888298625 496.282995274546 50.6957102983263 33.2513334204984 1685.69996611865 -75.6644943639723 45.5676840321318 -3447.85577162851
163.89647411881 3.8560560890401 631.99399699804 42.7040313145988 27.2493682135972 1163.65787349649 -63.4354039682466 45.0331922700215 -2856.69874362854
171.408206041506 9.09483956989374 1558.93013491078 26.5536589721693 26.0617914187575 692.035921537495 -49.2223632431438 44.5304132895397 -2191.89217830504
164.274692912079 9.71524362880625 1595.96866368817 3.90940718352217 21.7908533510891 85.1893186258259 -34.8206254153938 38.9823250256712 -1357.38893754003
148.515321594678 8.45310430948011 1255.41550499579 -21.7878960974582 16.563896202608 -360.892449431505 -22.0173957472541 31.7320801012726 -698.657765473287
130.506147935778 7.48669525852408 977.059758959034 -46.3563903836694 11.9295211335227 -553.009538755811 -12.1591304559066 25.6449625473798 -311.820445150428
114.157016227827 6.77231718516708 773.107522807111 -66.4141359233805 7.47366976547333 -496.357319650605 -5.93694929398328 19.9360704328102 -118.359439280873
100.37279392797 5.94891408603798 597.109127653086 -80.3865984459007 3.44326681746711 -276.792506997823 -3.25696108837412 14.6416087543316 -47.6871499840559
88.8844942419387 5.06251015091813 449.978654359039 -88.2402820768446 1.46439754768469 -129.218852680336 -3.42766937341983 11.5697212761615 -39.6571792773027
79.9097393927539 4.49434940286279 359.142289522745 -90.7829484754852 -1.48958189487441 135.228636412399 -5.40693133476908 7.10187746938376 -38.3993638249016
73.7729945916499 4.19609883720391 309.558776823073 -89.2674545993255 -3.49581065095037 312.06211857155 -8.00790776961493 3.34402893105947 -26.7786752588482
69.6558191611063 3.79210886590795 264.142449402912 -85.0437293388151 -5.68883081637467 483.799388202078 -10.0100913149323 -1.70119214128287 17.0290886784868
65.1168653621204 3.93059849938483 255.948253276994 -79.4278422846473 -7.13019886557068 566.336310952719 -10.3451363045111 -5.75833602428371 59.5707710583915
