trunkAngleR pelvisAngleR rightHipAngleR rightKneeAngleR rightFootAngleR rightAnkleAngleR
-1.21731149747772 4.75986784860355 29.5223172641225 6.22102506613007 15.2450506243261 1.70362627493717
-1.45911007673528 4.57665940668995 29.1047012943256 7.74492282392032 12.6150733968682 0.831954333152858
-1.70043057982537 4.39853577568824 28.6680774060477 9.33045891218015 9.97264132606476 0.0335586078854231
-1.93313305688414 4.23086978691506 28.2130660558374 10.9361233483613 7.45486552727244 -0.591207393288665
-2.1495573980143 4.07922068557052 27.7357159211838 12.5169551523922 5.16070044566604 -0.978839637555095
-2.34309148892406 3.94902436337978 27.2280723148681 14.0255120865673 3.14738272566219 -1.10615313925885
-2.50844800944749 3.84532029107202 26.6797638565144 15.4147655259541 1.43695704651412 -0.982720992974114
-2.64196956969186 3.77250602725354 26.0797607654743 16.6416875249784 0.026034416310243 -0.639532796932095
-2.74170459878483 3.73392636925375 25.4177098547537 17.6699809542228 -1.10526474861274 -0.119067279889909
-2.80738707035633 3.73190590885093 24.6853926434402 18.4717976434155 -1.98684810483534 0.531462803990875
-2.84033977655562 3.76741814976843 23.8769176886795 19.0280388966417 -2.65438581726408 1.26415354046663
-2.84315050463685 3.84015715978687 22.9891868645443 19.3284229152657 -3.14588230942557 2.03351090108277
-2.81934489741332 3.9487520442516 22.022041184223 19.3713887473344 -3.49889460770467 2.79920499965836
-2.77312669712275 4.09063470446789 20.9779347180139 19.1637009109188 -3.74826984090389 3.52813105646891
-2.70898194229846 4.26226079790853 19.8618729224252 18.7201451333725 -3.92460720934853 4.19592579950725
-2.63142530949022 4.45938514682302 18.6812832527453 18.0627597282603 -4.05347874922926 4.78738287310877
-2.54490048369832 4.67692869112817 17.445134807872 17.2191956095483 -4.15537649737625 5.29561299542821
-2.45341358810834 4.90933176096466 16.1633455399517 16.2206859616435 -4.24598698500094 5.72068519765549
-2.36038448781704 5.15070872081202 14.8459945900841 15.0998964324915 -4.33702495721917 6.06758560600019
-2.26870961470178 5.39497460692556 13.50260222235 13.8889986014472 -4.43705781202795 6.34431317399482
-2.1804658681306 5.63611458906469 12.141727715523 12.6183114843206 -4.55243946052815 6.56025889733411
-2.09708360673858 5.86833698446443 10.7706450954891 11.3153314615385 -4.68790921638319 6.72511413413063
-2.01920813605882 6.08633139279717 9.3954561298484 10.0046345542323 -4.8470052279273 6.84850458925375
-1.94665561111966 6.28553118448223 8.02125916788459 8.70760494258811 -5.03216991803009 6.93970704115566
-1.87887987710419 6.46212573762472 6.65220905004629 7.44270665429091 -5.24483458237237 7.00778875949697
-1.81446972327732 6.61340881153088 5.29193671742262 6.22558796919381 -5.48562349705784 7.06143656624423
-1.7518085693774 6.73767572311406 3.94351380339965 5.06925479948198 -5.75470215971986 7.10871455947653
-1.68894148181502 6.83431872840797 2.60957325969733 3.98412457364479 -6.05218035542929 7.15668968692614
-1.62384961287098 6.90368816632702 1.29226025817159 2.97810085400555 -6.37841880951386 7.21110995264712
-1.55448016912465 6.94712202018878 -0.00673058125364534 2.05645861718076 -6.7342060909867 7.27610512763648
-1.47902125661236 6.96674465456676 -1.28610309706271 1.22241924741644 -7.12078920180275 7.35447779724315
-1.39607173496464 6.9651589976174 -2.54501788966519 0.477513091096966 -7.53970771183263 7.44798226654693
-1.30475946692209 6.94535917905386 -3.78279278416425 -0.177645085562558 -7.99238382171075 7.5581230559448
-1.20487188181445 6.91031540200951 -4.99873936978964 -0.742371651472331 -8.48005197486523 7.68663114546158
-1.09688295377308 6.86288015644998 -6.19185326090323 -1.21536519032278 -9.00416493513728 7.83520329189316
-0.982077323955474 6.80535165780468 -7.36084650491364 -1.59400119711892 -9.56702779437359 8.00516917122582
-0.862568751449681 6.73942997916635 -8.50401002668754 -1.87420228765079 -10.1727007023697 8.19653701583339
-0.741330148869438 6.66608532963609 -9.61919642075527 -2.05035891838836 -10.8277140432799 8.40720878872309
-0.621828614440684 6.58549926970561 -10.7041258502567 -2.11579414422516 -11.5416210475056 8.63220992823155
-0.508255973812879 6.49693434513365 -11.7564805081575 -2.0630229647218 -12.3277022543114 8.86268963425791
-0.405110344757126 6.39929205009528 -12.7734818467031 -1.88412415871149 -13.2040976850617 9.08455205302511
-0.316926009128474 6.29101043646243 -13.7519189429468 -1.5709797094801 -14.1951597360818 9.27678993384724
-0.248112753272499 6.17030277135847 -14.6878384978151 -1.1154541468612 -15.33261619561 9.41007092670232
-0.202622487980336 6.03562170948384 -15.5759355970108 -0.509644646718321 -16.6565593858964 9.44535327387996
-0.183828123383658 5.88579843746548 -16.4092113566685 0.254075951139232 -18.2155382687722 9.33354747650099
-0.193929326830512 5.72010815225158 -17.1787850619294 1.18296693170018 -20.0653283461921 9.01653179968908
-0.234210765138492 5.53859670654218 -17.873451634419 2.28391377865895 -22.2659643103388 8.42999780928138
-0.304524133085323 5.34203505057082 -18.4798016937113 3.56344451500503 -24.8768405865837 7.50844067270339
