	Force Plate 1												Force Plate 2												Force Plate 3												Force Plate 4
Sample #	FP1_COP:X	FP1_COP:Y	FP1_COP:Z	FP1_Ref:X	FP1_Ref:Y	FP1_Ref:Z	FP1_Force:X	FP1_Force:Y	FP1_Force:Z	FP1_Moment:X	FP1_Moment:Y	FP1_Moment:Z	FP2_COP:X	FP2_COP:Y	FP2_COP:Z	FP2_Ref:X	FP2_Ref:Y	FP2_Ref:Z	FP2_Force:X	FP2_Force:Y	FP2_Force:Z	FP2_Moment:X	FP2_Moment:Y	FP2_Moment:Z	FP3_COP:X	FP3_COP:Y	FP3_COP:Z	FP3_Ref:X	FP3_Ref:Y	FP3_Ref:Z	FP3_Force:X	FP3_Force:Y	FP3_Force:Z	FP3_Moment:X	FP3_Moment:Y	FP3_Moment:Z	FP4_COP:X	FP4_COP:Y	FP4_COP:Z	FP4_Ref:X	FP4_Ref:Y	FP4_Ref:Z	FP4_Force:X	FP4_Force:Y	FP4_Force:Z	FP4_Moment:X	FP4_Moment:Y	FP4_Moment:Z
13	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
14	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
15	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
16	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
17	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
18	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
19	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
21	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
22	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
23	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
24	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
25	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
26	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
28	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
29	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
30	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
31	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
32	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
33	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
34	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
35	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
36	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
37	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
38	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
39	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
40	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
41	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
42	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
43	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
44	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
45	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
46	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
47	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
48	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
49	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
50	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
51	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
52	0	0	0	198.839493	300.407135	0.055876	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	202.900349	-304.364990	-0.079583	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	207.643188	-1058.390015	0.077032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	-199.669022	-305.422272	-0.130892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
