	Force Plate 1												Force Plate 2												Force Plate 3												Force Plate 4
Sample #	FP1_COP:X	FP1_COP:Y	FP1_COP:Z	FP1_Ref:X	FP1_Ref:Y	FP1_Ref:Z	FP1_Force:X	FP1_Force:Y	FP1_Force:Z	FP1_Moment:X	FP1_Moment:Y	FP1_Moment:Z	FP2_COP:X	FP2_COP:Y	FP2_COP:Z	FP2_Ref:X	FP2_Ref:Y	FP2_Ref:Z	FP2_Force:X	FP2_Force:Y	FP2_Force:Z	FP2_Moment:X	FP2_Moment:Y	FP2_Moment:Z	FP3_COP:X	FP3_COP:Y	FP3_COP:Z	FP3_Ref:X	FP3_Ref:Y	FP3_Ref:Z	FP3_Force:X	FP3_Force:Y	FP3_Force:Z	FP3_Moment:X	FP3_Moment:Y	FP3_Moment:Z	FP4_COP:X	FP4_COP:Y	FP4_COP:Z	FP4_Ref:X	FP4_Ref:Y	FP4_Ref:Z	FP4_Force:X	FP4_Force:Y	FP4_Force:Z	FP4_Moment:X	FP4_Moment:Y	FP4_Moment:Z
12	0	0	0	198.839493	300.407135	0.055876	-0.577080	0.832994	0.405912	45.953290	206.316312	32.690534	0	0	0	202.900341	-304.364990	-0.079583	-0.274449	0.220895	-0.829163	-255.448669	-143.213471	22.384259	0	0	0	207.643188	-1058.390015	0.077032	0.214425	-0.260455	-0.589756	118.925899	186.444114	94.746619	0	0	0	-199.669022	-305.422272	-0.130892	-0.081098	-0.096674	-0.188024	-115.731441	-7.603679	104.013168
13	0	0	0	198.839493	300.407135	0.055876	-0.394419	-0.231380	-1.361052	47.568498	-109.057493	125.689658	0	0	0	202.900341	-304.364990	-0.079583	-0.098746	-0.218857	1.650169	-79.923571	34.172125	-33.244890	0	0	0	207.643188	-1058.390015	0.077032	-0.144411	-0.350007	-0.946736	28.528473	43.910164	57.394449	0	0	0	-199.669022	-305.422272	-0.130892	-0.081113	0.079993	-0.897547	-26.970723	-7.444254	-81.790851
14	0	0	0	198.839493	300.407135	0.055876	-0.398167	0.212825	0.759643	-217.839802	169.882837	88.280586	0	0	0	202.900341	-304.364990	-0.079583	0.161444	0.754804	2.004199	-79.063852	-107.082949	-126.178127	0	0	0	207.643188	-1058.390015	0.077032	-0.054037	0.006689	-0.232360	209.181725	150.649415	-18.419768	0	0	0	-199.669022	-305.422272	-0.130892	-0.171369	0.345704	0.875973	150.283213	-6.979388	-7.341987
15	0	0	0	198.839493	300.407135	0.055876	0.398996	-0.582221	-1.713916	222.623631	67.088822	88.593383	0	0	0	202.900341	-304.364990	-0.079583	0.168588	-0.129820	0.234033	-124.077570	-1.273246	134.114124	0	0	0	207.643188	-1058.390015	0.077032	0.124748	0.094949	-0.590277	118.755571	43.694937	-74.688589	0	0	0	-199.669022	-305.422272	-0.130892	-0.171128	-0.007748	1.940286	-337.318916	26.780502	-100.573937
16	0	0	0	198.839493	300.407135	0.055876	-0.662876	0.388905	0.759428	399.217399	-37.134365	-22.774878	0	0	0	202.900341	-304.364990	-0.079583	-0.008083	-0.219101	0.233815	-35.629475	-0.914029	-51.762738	0	0	0	207.643188	-1058.390015	0.077032	-0.321965	-0.347524	0.483686	-61.823469	8.313574	76.416251	0	0	0	-199.669022	-305.422272	-0.130892	0.009562	-0.097616	-3.735294	-159.969072	-42.715581	103.998141
17	0	0	0	198.839493	300.407135	0.055876	-0.218079	-0.584909	0.759949	-127.810333	-215.133409	88.430255	0	0	0	202.900341	-304.364990	-0.079583	0.965042	-0.213773	0.943502	272.502095	71.304633	23.062313	0	0	0	207.643188	-1058.390015	0.077032	-0.322398	-0.259298	0.125977	164.045576	-134.260403	-17.865955	0	0	0	-199.669022	-305.422272	-0.130892	0.272596	0.081105	-0.187871	194.879815	-111.880287	-25.866600
18	0	0	0	198.839493	300.407135	0.055876	-0.131828	-0.052413	-1.007456	-83.872190	-179.903838	-115.981190	0	0	0	202.900341	-304.364990	-0.079583	-0.101982	0.311569	2.004026	-36.143136	104.983837	-70.416320	0	0	0	207.643188	-1058.390015	0.077032	-0.322083	0.274463	0.482591	-197.477023	-134.328365	-17.445270	0	0	0	-199.669022	-305.422272	-0.130892	0.007428	-0.008121	-0.542733	-71.580695	62.509742	104.016687
19	0	0	0	198.839493	300.407135	0.055876	0.217055	0.216179	1.113512	266.687208	67.296341	-22.886307	0	0	0	202.900341	-304.364990	-0.079583	0.168211	0.046756	-0.120175	52.460086	-0.435892	4.170293	0	0	0	207.643188	-1058.390015	0.077032	-0.231260	0.454078	1.554834	118.770737	79.340646	-55.897268	0	0	0	-199.669022	-305.422272	-0.130892	0.094246	0.169696	1.585655	239.280272	-146.765852	-7.242872
20	0	0	0	198.839493	300.407135	0.055876	0.574385	-0.669695	-0.299913	135.820933	-143.664522	-4.337630	0	0	0	202.900341	-304.364990	-0.079583	0.430134	0.578714	0.588196	-255.962330	-37.315612	3.730690	0	0	0	207.643188	-1058.390015	0.077032	0.483567	0.273356	-0.233454	-197.514122	-170.007481	-55.090594	0	0	0	-199.669022	-305.422272	-0.130892	-0.523093	-0.539792	0.521319	-71.522801	97.432431	-137.609062
21	0	0	0	198.839493	300.407135	0.055876	-0.664497	0.389488	3.233695	-127.551043	-250.203367	-23.069827	0	0	0	202.900341	-304.364990	-0.079583	-0.180394	-0.750955	-1.182666	96.047295	70.439836	97.203984	0	0	0	207.643188	-1058.390015	0.077032	-0.054088	0.273255	-0.232829	-333.081810	43.709506	-17.600780	0	0	0	-199.669022	-305.422272	-0.130892	0.010016	-0.451183	-3.025713	17.101910	62.711755	48.312650
